#length of traj: 188.848
#time tx ty tz qx qy qz qw
1746808015.397812500 -2.18286887e-07 1.95186605e-07 -4.22929796e-07 -0.999822782 0.000184773407 0.0143191319 0.0122201667
1746808015.897812500 -0.00108681596 0.000905365592 -0.000679402451 -0.999833879 -3.13197731e-06 0.0136804394 0.0120440637
1746808016.397812500 -0.00113458287 0.00188291158 -0.00356619024 -0.999824326 9.37961329e-06 0.0141335051 0.0123110553
1746808016.897812500 -0.000844936061 0.00175800329 -0.00593807243 -0.999829155 2.26822773e-05 0.0135975923 0.0125206321
1746808017.397812500 -0.000867469096 -0.00111373145 -0.00703531466 -0.999829913 -0.000255342355 0.0139863642 0.0120192229
1746808017.897812500 -0.000691457197 -0.00472557718 -0.00729046938 -0.999835816 7.88716769e-05 0.0139192455 0.0116012645
1746808018.397812500 -9.26790851e-05 -0.00447131172 -0.00762918252 -0.999839347 -0.000395172261 0.0138143738 0.0114143299
1746808018.897812500 -0.00041557611 -0.00307365833 -0.0068700255 -0.999831724 -5.5551251e-05 0.0141825965 0.0116350947
1746808019.397812500 -0.000624741495 -0.00159216171 -0.00585376531 -0.999840094 -0.000408844011 0.0137512662 0.0114246307
1746808019.897812500 -0.00027906677 -0.000995795747 -0.00533749606 -0.999826169 -0.00024432911 0.0143109536 0.0119485656
1746808020.397812500 0.000199110196 -0.000688962212 -0.00642995854 -0.999837456 -0.000358012006 0.0136129115 0.0118161826
1746808020.897812500 0.000585886699 -0.00131251985 -0.00650631434 -0.999827182 -0.000367456463 0.0141283562 0.012077255
1746808021.397812500 0.000735805717 -0.00383171332 -0.00444051918 -0.999839638 -0.000379836548 0.0135607425 0.0116901596
1746808021.897812500 0.00101938776 -0.00579600777 -0.00190342447 -0.999831225 -0.00107521203 0.0145810646 0.0111246251
1746808022.400312500 -0.0136403201 0.0208984461 0.0263004153 -0.998524855 -0.039747503 -0.032813865 0.0170733995
1746808022.890312500 -0.189142727 0.074851339 0.181155693 -0.884347513 -0.123470793 -0.448494519 0.0392059489
1746808023.400312500 -0.28573687 0.0569868893 0.165733466 -0.808732757 -0.138121063 -0.568029992 0.0649294101
1746808023.900312500 -0.268640489 0.0553636004 0.174844019 -0.814296611 -0.141404384 -0.558330407 0.0720623827
1746808024.397812500 -0.234844331 0.0557285485 0.183502302 -0.829320549 -0.162738669 -0.527232947 0.0881417703
1746808024.897812500 -0.115886411 0.10164794 0.123002017 -0.593847504 -0.220222642 -0.751081362 0.186343548
1746808025.400312500 -0.0569288799 0.204093043 0.460518998 -0.567817876 -0.169722149 -0.79869638 0.104217772
1746808025.900312500 0.00748216259 0.284113723 0.874782266 -0.599230978 -0.207739697 -0.771267679 -0.053968691
1746808026.397812500 0.103699587 0.479052484 1.0649207 -0.656347532 0.119591117 -0.715592645 -0.206961467
1746808026.897812500 0.201850327 0.498548784 0.965404241 -0.673946046 0.123825058 -0.459287755 -0.565259975
1746808027.400312500 0.0492547878 0.405539783 1.05294334 -0.733446135 0.000629204656 -0.592970123 -0.332329361
1746808027.900312500 0.0218477981 0.279795877 1.08696782 -0.744385499 -0.115355278 -0.641139182 -0.146710387
1746808028.397812500 0.00971046737 0.213837418 1.08223794 -0.729540458 -0.152090703 -0.659014257 -0.10168258
1746808028.897812500 0.0217883866 0.253718047 1.13759659 -0.769270653 -0.0993657545 -0.609126883 -0.165268115
1746808029.400312500 -0.0180707112 0.278619264 1.13319331 -0.755068322 -0.0587358411 -0.616767232 -0.214522984
1746808029.900312500 -0.145032673 0.100918307 1.12398534 -0.735253025 -0.194022214 -0.646811979 -0.0582463228
1746808030.397812500 -0.175639473 -0.0535762189 1.10316327 -0.673377718 -0.250854236 -0.669403258 0.188504325
1746808030.897812500 -0.253098201 0.161862521 1.09093568 -0.695914369 -0.213168334 -0.669626633 0.147860156
1746808031.400312500 -0.257838611 0.195398449 1.07276188 -0.685900825 -0.182274424 -0.694634464 0.117469372
1746808031.897812500 -0.225370016 0.128028924 1.07862018 -0.682589156 -0.234487212 -0.677147005 0.143386628
1746808032.397812500 -0.122164175 0.181326806 1.12251703 -0.686218351 -0.374716207 -0.58414223 0.217876098
1746808032.900312500 -0.0391679287 0.505973857 1.14656013 -0.67710932 -0.43150662 -0.552975118 0.22258375
1746808033.397812500 0.152896025 0.857911374 1.12212226 -0.708602895 -0.301663856 -0.608828736 0.190285114
1746808033.900312500 0.48832688 1.24188466 1.0836677 -0.735469482 -0.137048022 -0.658905127 0.078399707
1746808034.397812500 0.896137349 1.43913543 1.07295756 -0.737351829 -0.137975015 -0.659984817 0.0411730002
1746808034.897812500 1.30939383 1.54718299 1.09732181 -0.689056083 -0.348715811 -0.597830919 0.214935315
1746808035.397812500 1.57107848 1.97299052 1.09885801 -0.648633723 -0.415133965 -0.586867432 0.250049398
1746808035.897812500 1.82916466 2.41730987 1.09612746 -0.645074277 -0.387559217 -0.587279756 0.297958921
1746808036.400312500 1.99093747 2.93566407 1.10149888 -0.73437904 -0.2329079 -0.618207235 0.155759912
1746808036.897812500 2.37781829 3.19010397 1.09644147 -0.751324682 -0.148667112 -0.638970252 0.0715983899
1746808037.397812500 2.76273983 3.31751254 1.05610379 -0.698525008 -0.255124112 -0.650287744 0.155242873
1746808037.900312500 3.16367336 3.51357115 1.07528073 -0.612081623 -0.454187771 -0.569103414 0.308530161
1746808038.397812500 3.45814287 3.8903195 1.07983241 -0.496240777 -0.578710258 -0.474163485 0.440463981
1746808038.897812500 3.38638587 4.42890123 1.09565517 -0.589769701 -0.48978919 -0.537079846 0.351885617
1746808039.400312500 3.49745804 4.93512277 1.08475668 -0.650322805 -0.371354281 -0.603683706 0.273390251
1746808039.897812500 3.70191794 5.43414445 1.06795803 -0.704027218 -0.244532958 -0.644003938 0.172650622
1746808040.397812500 4.02219147 5.80621983 1.06150945 -0.732281668 -0.105371077 -0.672109385 0.0304871842
1746808040.897812500 4.43687795 5.97030662 1.06569185 -0.746635172 -0.0553911107 -0.662733245 -0.0158868101
1746808041.397812500 4.92328313 6.10122962 1.0978377 -0.767011864 0.0404085531 -0.627906147 -0.125673465
1746808041.900312500 5.378075 5.9569335 1.0855872 -0.751405725 0.0230439075 -0.645431124 -0.135192746
1746808042.397812500 5.81252729 5.8211185 1.05962213 -0.726986154 -0.0255148701 -0.684289704 -0.0508696896
1746808042.897812500 6.28964006 5.75902992 1.05316019 -0.720536625 -0.167646665 -0.671580895 0.041239172
1746808043.400312500 6.76433378 5.86142019 1.04630094 -0.70923159 -0.242935158 -0.648007205 0.134386471
1746808043.897812500 7.16996149 6.15815213 1.10191542 -0.749370235 -0.162520529 -0.638576125 0.0652062951
1746808044.397812500 7.61024942 6.40375975 1.07115429 -0.737933825 0.0370845998 -0.672150169 -0.0478806226
1746808044.900312500 8.10592538 6.58391967 1.0898336 -0.698267569 0.332443518 -0.561566341 -0.294188637
1746808045.397812500 8.46070099 6.32464304 1.09431154 -0.578507287 0.541110958 -0.38718911 -0.471818655
1746808045.897812500 8.4646672 5.87544147 1.09435786 -0.496903449 0.595679965 -0.361663407 -0.51715754
1746808046.400312500 8.42500156 5.32243634 1.0933699 -0.438626467 0.631640844 -0.305321939 -0.561618358
1746808046.897812500 8.16291534 4.84244411 1.07914423 -0.431993732 0.610479582 -0.314456265 -0.584648059
1746808047.397812500 7.89814825 4.34293801 1.07250566 -0.456312927 0.590892361 -0.34984067 -0.565894192
1746808047.900312500 7.67116457 3.85545219 1.04370626 -0.48149496 0.543824831 -0.388811029 -0.566783151
1746808048.397812500 7.5219854 3.3815524 1.04905186 -0.55617152 0.48360801 -0.459956541 -0.495213604
1746808048.900312500 7.47930528 2.93175016 1.06093738 -0.594273497 0.439199462 -0.477035831 -0.475793715
1746808049.397812500 7.30644508 2.53705958 1.10518585 -0.749559993 0.180545304 -0.58700738 -0.246952515
1746808049.897812500 7.61577254 2.30038629 1.10802601 -0.773676813 0.0549378428 -0.622595451 -0.103831243
1746808050.397812500 8.09286222 2.17257633 1.06492761 -0.748911998 -0.00704025236 -0.65851791 -0.0737252766
1746808050.897812500 8.62312413 2.06586109 1.04520426 -0.732546103 -0.0940443733 -0.673943908 0.0182063976
1746808051.397812500 9.17359263 2.09821069 1.04954332 -0.731793397 -0.113530353 -0.671793373 0.0168210096
1746808051.897812500 9.68654655 2.12870419 1.07696438 -0.733817046 -0.196397838 -0.643896509 0.0913111083
1746808052.397812500 10.1822942 2.35926116 1.09010595 -0.739860953 -0.195699908 -0.638487136 0.081495362
1746808052.900312500 10.7179879 2.52709547 1.08981857 -0.714826489 -0.25179915 -0.637397422 0.139085607
1746808053.397812500 11.1806644 2.85306885 1.08283923 -0.700164787 -0.278262463 -0.63328806 0.176877094
1746808053.897812500 11.6246073 3.19746488 1.0659382 -0.647612459 -0.359009929 -0.628988709 0.236818871
1746808054.397812500 11.9799987 3.63957999 1.06471012 -0.588129758 -0.463362783 -0.56640737 0.344355935
1746808054.897812500 12.2104334 4.16165385 1.04992153 -0.525284612 -0.525198462 -0.522885431 0.418130933
1746808055.397812500 12.3081313 4.73572831 1.05317844 -0.442992565 -0.615130616 -0.434360087 0.486521559
1746808055.897812500 12.2067242 5.3173935 1.05797437 -0.468378167 -0.598442475 -0.456508011 0.462697453
1746808056.397812500 12.1618659 5.87422199 1.05114311 -0.454333052 -0.594883431 -0.448152064 0.488727848
1746808056.897812500 12.0117051 6.45597299 1.10068887 -0.580930628 -0.52948405 -0.513477204 0.344249049
1746808057.400312500 12.149679 6.98641881 1.1064622 -0.654316358 -0.418177198 -0.557801984 0.293010036
1746808057.895312500 12.3536631 7.53631822 1.11715935 -0.731114332 -0.248040386 -0.616534655 0.154378818
1746808058.400312500 12.7785919 7.83601172 1.09324212 -0.732826487 -0.160505865 -0.654719201 0.0924444382
1746808058.897812500 13.2862236 8.06924898 1.07395091 -0.741275949 -0.0923994984 -0.662997121 0.0490623794
1746808059.397812500 13.8201173 8.18953539 1.04983612 -0.734577179 -0.00811999328 -0.677117125 -0.042928221
1746808059.897812500 14.3680821 8.17859599 1.03960204 -0.735347361 0.0616613329 -0.668875888 -0.0898175104
1746808060.397812500 14.910011 8.09376488 1.05758791 -0.726058604 0.207469733 -0.613632815 -0.230759575
1746808060.897812500 15.3363137 7.77268671 1.07328155 -0.717681464 0.261167516 -0.594135506 -0.252443747
1746808061.397812500 15.7632178 7.42252785 1.07317652 -0.696813883 0.301203035 -0.568409526 -0.317234544
1746808061.900312500 16.0373025 6.96799488 1.08036898 -0.726473248 0.213868871 -0.603752296 -0.248957611
1746808062.397812500 16.4680726 6.64848275 1.07715604 -0.733181002 0.189627421 -0.615486677 -0.218319055
1746808062.897812500 16.896189 6.33457583 1.05524857 -0.715389795 0.20305562 -0.618071643 -0.254898608
