#length of traj: 425.821
#time tx ty tz qx qy qz qw
1743696474.297812500 1.27304376e-07 6.62678543e-07 -3.49049971e-07 -0.997234859 0.00226182467 0.0308296266 0.0675799818
1743696474.797812500 0.000523377955 0.000666862774 0.000277884738 -0.997154641 0.00282740129 0.0315428286 0.0684081744
1743696475.297812500 0.00217038637 0.00311745803 -0.000965672335 -0.997175893 0.00270353016 0.0307461654 0.0684660649
1743696475.797812500 0.00165002494 0.00480814351 -0.00383339882 -0.997130354 0.00248677364 0.0316522484 0.0687241411
1743696476.297812500 0.00185136699 0.00341906615 -0.00446446927 -0.997168996 0.00270723246 0.0308425543 0.0685229967
1743696476.797812500 0.00293226464 0.0018083121 -0.00280195278 -0.997145287 0.00224814487 0.031388267 0.0686367239
1743696477.297812500 0.00461077008 -0.00115029932 -0.00301248692 -0.997175558 0.00256087184 0.0306962547 0.0684988239
1743696477.797812500 0.0038443482 -0.00485399874 -0.00566638744 -0.997192976 0.0019252898 0.031155171 0.0680574552
1743696478.297812500 0.00219361554 -0.00644794901 -0.00851456749 -0.997195846 0.00247925524 0.0309268086 0.068101624
1743696478.797812500 0.000601417393 -0.00639912895 -0.00844774305 -0.997194131 0.00184209959 0.0309858208 0.0681201192
1743696479.297812500 -0.000230300203 -0.0059705429 -0.00664864211 -0.997181782 0.00219580501 0.0314246369 0.0680893812
1743696479.797812500 0.000889340986 -0.0036052569 -0.003675617 -0.997175633 0.00202308323 0.0309365371 0.06840757
1743696480.297812500 -0.000638153765 0.000524581262 0.00243037741 -0.997318674 -0.000311801521 0.0263268322 0.0682807628
1743696480.797812500 -0.139115079 0.0131598057 0.127333993 -0.982824974 -0.0409062037 -0.163180354 0.0758546358
1743696481.297812500 -0.40043063 0.0449210254 0.203528245 -0.898489039 -0.0115944046 -0.438830126 -0.00333711862
1743696481.797812500 -0.519260611 0.016415377 0.193720423 -0.830666599 -0.118801565 -0.540065825 0.0648698211
1743696482.297812500 -0.571824042 -0.0864877022 0.176114342 -0.755097419 -0.233219285 -0.5804469 0.196260159
1743696482.797812500 -0.554979013 -0.0517367076 0.188447606 -0.781214688 -0.21847852 -0.560532877 0.166654254
1743696483.297812500 -0.552291294 -0.0873975564 0.186211462 -0.742203012 -0.312156223 -0.544044797 0.236026354
1743696483.797812500 -0.523106185 -0.108853917 0.189564957 -0.679308257 -0.450505102 -0.486321342 0.314764987
1743696484.297812500 -0.514996824 -0.0617902297 0.198699886 -0.706657614 -0.458218875 -0.46079979 0.279882177
1743696484.797812500 -0.513018807 -0.0494571155 0.199379285 -0.711805127 -0.463610732 -0.452729947 0.270987352
1743696485.297812500 -0.534093526 0.0332636778 0.17621025 -0.725269727 -0.356630446 -0.57316762 0.135194034
1743696485.797812500 -0.474137133 0.0336683774 0.332516139 -0.584612792 -0.403671988 -0.644466794 0.282735498
1743696486.300312500 -0.494263119 0.0387506076 0.823761173 -0.50392315 -0.471611509 -0.705857005 0.159404932
1743696486.797812500 -0.448609601 0.0234507548 0.876087328 -0.453999425 -0.434725337 -0.772984617 0.0859836357
1743696487.295312500 -0.428857961 0.33934241 0.868122982 -0.572635795 -0.195797009 -0.718063575 -0.343709876
1743696487.800312500 -0.27256563 0.542648726 0.96194391 -0.641696059 0.0478440839 -0.582232437 -0.496933095
1743696488.297812500 -0.37328881 0.40586508 0.963763539 -0.682075614 -0.0678222434 -0.519179073 -0.510515514
1743696488.797812500 -0.335575447 0.36707234 1.1014305 -0.783801144 0.0736122201 -0.542042318 -0.293984919
1743696489.295312500 -0.0182242275 0.47004313 1.02951682 -0.609122951 0.354188544 -0.419855699 -0.572049733
1743696489.797812500 -0.0510123773 0.385445548 1.0843235 -0.649326226 0.371981875 -0.379929233 -0.543745083
1743696490.297812500 -0.174585833 0.355182855 1.08487297 -0.700508181 0.268297021 -0.45313273 -0.481638585
1743696490.795312500 -0.293980394 0.336543495 1.03216181 -0.66615103 0.241000287 -0.559452467 -0.430319189
