#length of traj: 376.657
#time tx ty tz qx qy qz qw
1749766066.802668989 0 0 0 -0.00849882381 -0.0578920456 -0.000680765567 0.998286441
1749766067.300232474 -0.0133383318 -0.0110174283 -0.00354885393 -0.00865915156 -0.0578240133 -0.000535801505 0.998289094
1749766067.800226977 -0.0188932052 -0.0237792399 -0.00536109237 -0.00886271046 -0.0570145525 -0.000520027539 0.998333873
1749766068.300212676 -0.0101597366 -0.0234833677 -0.00589672681 -0.00876017759 -0.058031131 -0.000505577113 0.99827621
1749766068.800236922 -0.00721498875 -0.0194884142 -0.00403055339 -0.00893871924 -0.0572755137 -0.000541281234 0.998318247
1749766069.300223022 -0.00589353544 -0.0169257088 -0.00665463376 -0.00876900805 -0.0582014762 -0.000432835219 0.99826625
1749766069.800232122 -0.00757742359 -0.0175791976 -0.00632284391 -0.00894454894 -0.0575762093 -0.000647681394 0.998300834
1749766070.300225748 -0.00692065262 -0.0128503744 -0.00709498583 -0.00878684961 -0.0581425071 -0.000481988119 0.998269507
1749766070.800224422 -0.00795925542 -0.0181584307 -0.00902156855 -0.00876108586 -0.0583550957 -0.000582188146 0.998257275
1749766071.300240970 -0.00837350698 -0.0201839454 -0.00846439687 -0.00890749494 -0.0577854425 -0.000450258376 0.998289185
1749766071.800287511 -0.0104939044 -0.0229945299 -0.00678965734 -0.00888775091 -0.0581129774 -0.000427486842 0.998270358
1749766072.300267709 -0.0114834919 -0.021053701 -0.00530893025 -0.00894093747 -0.0576081127 -0.000495323732 0.998299113
1749766072.800266720 -0.0039613036 -0.016936244 -0.00737185582 -0.00881887344 -0.0582647138 -0.000446707046 0.998262115
1749766073.300277926 -0.00299205263 -0.0227558117 -0.00657069493 -0.00891101501 -0.0575492236 -0.000380882754 0.998302828
1749766073.800283061 -0.00655065028 -0.0268496044 -0.00469506777 -0.00871843472 -0.058343942 -0.000286632125 0.998258429
1749766074.300273360 -0.00883525908 -0.0332469593 -0.00524432014 -0.00887946395 -0.0576971027 -0.000367083365 0.998294578
1749766074.800311920 -0.00767895539 -0.0314580586 -0.00985759301 -0.00879609111 -0.05824402 -0.00024584128 0.998263594
1749766075.300311721 -0.0166086001 -0.0141434426 -0.0070618198 0.00494165506 -0.0780302605 -0.0350110719 0.996323784
1749766075.800318221 -0.0631095803 0.039249456 0.256232485 0.0229104141 -0.0995043885 -0.0282269388 0.994372782
1749766076.300304903 -0.079771256 0.0944405085 0.324442313 0.0240791089 -0.141979911 0.048567446 0.988384088
1749766076.800315676 -0.106341876 0.106330352 0.340418794 -0.0329043802 -0.177941941 -0.0242566118 0.98319153
1749766077.297821529 -0.0450874844 0.136565043 0.433748026 -0.0798776699 -0.106440665 0.0635741754 0.989064339
1749766077.802835208 -0.00368774071 0.179069553 0.571537923 -0.0190773064 -0.14858842 0.152662157 0.976858129
1749766078.300311985 -0.0664673455 0.213634929 0.775742598 -0.00643362746 -0.144094781 0.155511146 0.977246942
1749766078.800319761 -0.115798964 0.220493911 0.995982345 -0.0105733871 -0.145014709 0.137413541 0.979783883
1749766079.300353006 -0.181206905 0.146874278 1.01146213 -0.07313106 -0.115848207 0.112685622 0.984140738
1749766079.800381296 -0.196795473 0.190582273 1.00752576 -0.0631360972 -0.0854633886 0.0934882665 0.989934233
1749766080.312865388 -0.192753871 0.22537732 1.01099382 -0.0394070951 -0.148096658 0.102153019 0.982893291
1749766080.800348605 -0.133656752 0.239789772 0.99687899 0.0223982252 -0.11656752 0.182143812 0.976080921
1749766081.302870346 -0.0233809846 0.329931287 1.00552013 0.0424451589 -0.112978897 0.323748099 0.938414272
1749766081.797881163 0.00470558314 0.576070766 0.994487172 0.0467789404 -0.0977613775 0.488142381 0.866008926
1749766082.302836590 0.0347139798 0.746967321 0.992283283 0.0446234501 -0.092509172 0.616021297 0.781004842
1749766082.797837581 -0.0229214466 0.815836251 0.993714345 0.0398805586 -0.0849757679 0.689104195 0.718556935
1749766083.297860541 -0.212499822 0.863371372 0.983839243 0.0686006469 -0.0137267255 0.606349183 0.792115014
1749766083.800368542 -0.203365906 0.965089875 0.98540891 0.0160569503 -0.0854025657 0.503880142 0.859391284
1749766084.300371212 -0.0349955074 1.219687 0.991081437 0.0260663068 -0.0695498464 0.483999439 0.871910494
1749766084.800375362 0.152044042 1.51417017 0.983807122 0.0388123341 -0.0962547319 0.520680297 0.847420001
1749766085.300398974 0.329717932 1.80803178 0.986286056 0.0291962985 -0.0887779087 0.565956092 0.819121335
1749766085.800420016 0.459758608 2.13218921 0.988681435 0.0412000326 -0.0949095798 0.624069628 0.774488108
1749766086.300399070 0.487043034 2.49726602 0.98538478 0.0414739142 -0.0640028322 0.683498891 0.725956484
1749766086.800416343 0.537952789 2.85006651 0.992194752 0.0494713818 -0.0941349777 0.701495175 0.704695471
1749766087.305441555 0.541152647 3.18353247 0.99429825 0.0557837357 -0.0802970029 0.719921793 0.687134032
1749766087.800431814 0.565077081 3.52163472 0.991187947 0.0507093886 -0.0686496511 0.707096277 0.701947747
1749766088.300421641 0.610678129 3.87030015 0.992259368 0.047776384 -0.084528186 0.70520763 0.702320868
1749766088.800448945 0.590322276 4.22143019 0.979858548 0.037205227 -0.0622704984 0.733064649 0.676279806
1749766089.300442007 0.610061529 4.58566255 0.993905719 0.0386144205 -0.086262973 0.778742905 0.62018313
1749766089.800446434 0.569053264 4.90921737 0.990059419 0.0400786786 -0.0636979977 0.810109118 0.581428828
1749766090.300468814 0.46845327 5.24941944 0.998187869 0.0607000769 -0.0701709618 0.814804926 0.572262587
1749766090.800431287 0.361480841 5.59951768 1.00789801 0.0510693106 -0.0624345295 0.811979818 0.578085314
1749766091.297968677 0.230981988 5.91278712 0.998150945 0.0624252652 -0.0623390329 0.77188363 0.62961305
