algorithm,algorithm_relative_folder,folder,algo_file,gt_file,rmse,mean,median,std,min,max,sse,plot_path
stella-vanilla,National Western Campus/1024x512/stella-vanilla_run_20250722_105458/VID_20250424_095731_048,VID_20250424_095731_048,frame_trajectory.txt,2025_04_24.09_57_33.791.prc.traj.csv,22.4370794586847,20.094875882182222,17.763315472608426,9.98090666798474,2.2256761664238556,42.12973490411323,601086.506354585,/home/tpc/Downloads/BenchmarkingSnippets/APE_dashboard_Updated/plots/National_Western_Campus_1024x512_stella-vanilla_run_20250722_105458_VID_20250424_095731_048_EST_frame_trajectory_vs_GT_2025_04_24.09_57_33.791.prc.traj.csv.pdf
stella-superpoint,National Western Campus/1024x512/stella-superpoint_run_20250724_153720/VID_20250424_095731_048,VID_20250424_095731_048,frame_trajectory.txt,2025_04_24.09_57_33.791.prc.traj.csv,9.419955096584884,8.37711184157152,7.603866485104444,4.308079759646724,1.9705542741103785,25.24420881579867,105950.25150188059,/home/tpc/Downloads/BenchmarkingSnippets/APE_dashboard_Updated/plots/National_Western_Campus_1024x512_stella-superpoint_run_20250724_153720_VID_20250424_095731_048_EST_frame_trajectory_vs_GT_2025_04_24.09_57_33.791.prc.traj.csv.pdf
stella-multimap,National Western Campus/1024x512/stella-multimap_run_20250722_213709/VID_20250424_095731_048,VID_20250424_095731_048,frame_trajectory.txt,2025_04_24.09_57_33.791.prc.traj.csv,24.44685395974924,22.154895954265918,23.325510865795334,10.334856253715333,4.090129216675247,43.720200724473436,713592.5102239926,/home/tpc/Downloads/BenchmarkingSnippets/APE_dashboard_Updated/plots/National_Western_Campus_1024x512_stella-multimap_run_20250722_213709_VID_20250424_095731_048_EST_frame_trajectory_vs_GT_2025_04_24.09_57_33.791.prc.traj.csv.pdf
stella-multimap,National Western Campus/1920x960/stella-multimap_run_20250723_101735/VID_20250424_095731_048,VID_20250424_095731_048,frame_trajectory.txt,2025_04_24.09_57_33.791.prc.traj.csv,15.901010642236342,12.912142536200129,9.719159908226828,9.280016948764946,2.346404414723123,42.307461703173225,301893.514496749,/home/tpc/Downloads/BenchmarkingSnippets/APE_dashboard_Updated/plots/National_Western_Campus_1920x960_stella-multimap_run_20250723_101735_VID_20250424_095731_048_EST_frame_trajectory_vs_GT_2025_04_24.09_57_33.791.prc.traj.csv.pdf
stella-vanilla,National Western Campus/1920x960/stella-vanilla_run_20250722_131252/VID_20250424_095731_048,VID_20250424_095731_048,frame_trajectory.txt,2025_04_24.09_57_33.791.prc.traj.csv,6.984939950300171,6.068694636311919,4.474514826151818,3.4583712236395745,2.1594783380094666,16.6612390307079,58254.52701450343,/home/tpc/Downloads/BenchmarkingSnippets/APE_dashboard_Updated/plots/National_Western_Campus_1920x960_stella-vanilla_run_20250722_131252_VID_20250424_095731_048_EST_frame_trajectory_vs_GT_2025_04_24.09_57_33.791.prc.traj.csv.pdf
stella-vanilla,National Western Campus/1440x720/stella-vanilla_run_20250722_115428/VID_20250424_095731_048,VID_20250424_095731_048,frame_trajectory.txt,2025_04_24.09_57_33.791.prc.traj.csv,6.551077312613623,5.673925259144596,4.237076230667448,3.274627629133101,2.082122256600308,16.665648558219154,51242.437063274076,/home/tpc/Downloads/BenchmarkingSnippets/APE_dashboard_Updated/plots/National_Western_Campus_1440x720_stella-vanilla_run_20250722_115428_VID_20250424_095731_048_EST_frame_trajectory_vs_GT_2025_04_24.09_57_33.791.prc.traj.csv.pdf
stella-multimap,National Western Campus/1440x720/stella-multimap_run_20250723_031419/VID_20250424_095731_048,VID_20250424_095731_048,frame_trajectory.txt,2025_04_24.09_57_33.791.prc.traj.csv,14.709609113235274,11.66337186064389,8.241054904465644,8.963166689541959,2.2608729099398843,40.220636206071305,258348.88471542404,/home/tpc/Downloads/BenchmarkingSnippets/APE_dashboard_Updated/plots/National_Western_Campus_1440x720_stella-multimap_run_20250723_031419_VID_20250424_095731_048_EST_frame_trajectory_vs_GT_2025_04_24.09_57_33.791.prc.traj.csv.pdf
stella-vanilla,National Western Campus/2880x1440/stella-vanilla_run_20250722_184508/VID_20250424_095731_048,VID_20250424_095731_048,frame_trajectory.txt,2025_04_24.09_57_33.791.prc.traj.csv,11.7298416532795,10.873261585593495,10.1592902037788,4.40015541796737,2.125327942737163,21.63476956314639,164281.48714194685,/home/tpc/Downloads/BenchmarkingSnippets/APE_dashboard_Updated/plots/National_Western_Campus_2880x1440_stella-vanilla_run_20250722_184508_VID_20250424_095731_048_EST_frame_trajectory_vs_GT_2025_04_24.09_57_33.791.prc.traj.csv.pdf
stella-multimap,National Western Campus/2880x1440/stella-multimap_run_20250724_201020/VID_20250424_095731_048,VID_20250424_095731_048,frame_trajectory.txt,2025_04_24.09_57_33.791.prc.traj.csv,14.893600123739331,12.042058255355263,8.956791928487863,8.7640263361356,2.332730353755225,37.81862885043183,264852.2736271428,/home/tpc/Downloads/BenchmarkingSnippets/APE_dashboard_Updated/plots/National_Western_Campus_2880x1440_stella-multimap_run_20250724_201020_VID_20250424_095731_048_EST_frame_trajectory_vs_GT_2025_04_24.09_57_33.791.prc.traj.csv.pdf
stella-vanilla,National Western Campus/1024x512/stella-vanilla_run_20250722_105458/VID_20250403_101731_052,VID_20250403_101731_052,frame_trajectory.txt,2025_04_03.10_17_32.579.prc.traj.csv,5.152526211828613,4.690911566699713,4.115728570066311,2.1316367037991655,2.021096675416193,15.804809689374414,45079.39776536041,/home/tpc/Downloads/BenchmarkingSnippets/APE_dashboard_Updated/plots/National_Western_Campus_1024x512_stella-vanilla_run_20250722_105458_VID_20250403_101731_052_EST_frame_trajectory_vs_GT_2025_04_03.10_17_32.579.prc.traj.csv.pdf
stella-superpoint,National Western Campus/1024x512/stella-superpoint_run_20250724_153720/VID_20250403_101731_052,VID_20250403_101731_052,frame_trajectory.txt,2025_04_03.10_17_32.579.prc.traj.csv,12.864190864229606,11.506394564978786,10.57636337573755,5.7524160755594735,2.1836695060803555,25.496061239167766,280997.61639207567,/home/tpc/Downloads/BenchmarkingSnippets/APE_dashboard_Updated/plots/National_Western_Campus_1024x512_stella-superpoint_run_20250724_153720_VID_20250403_101731_052_EST_frame_trajectory_vs_GT_2025_04_03.10_17_32.579.prc.traj.csv.pdf
stella-multimap,National Western Campus/1024x512/stella-multimap_run_20250722_213709/VID_20250403_101731_052,VID_20250403_101731_052,frame_trajectory.txt,2025_04_03.10_17_32.579.prc.traj.csv,12.215626696493644,10.909816845802736,10.075431498353389,5.4952190110246795,2.1521097177338357,23.38657847899034,253378.16742857377,/home/tpc/Downloads/BenchmarkingSnippets/APE_dashboard_Updated/plots/National_Western_Campus_1024x512_stella-multimap_run_20250722_213709_VID_20250403_101731_052_EST_frame_trajectory_vs_GT_2025_04_03.10_17_32.579.prc.traj.csv.pdf
stella-multimap,National Western Campus/1920x960/stella-multimap_run_20250723_101735/VID_20250403_101731_052,VID_20250403_101731_052,frame_trajectory.txt,2025_04_03.10_17_32.579.prc.traj.csv,8.073282751551284,7.295667009765031,6.408665239272498,3.4570416932865666,2.065490492113051,19.59937297400018,110672.06466826933,/home/tpc/Downloads/BenchmarkingSnippets/APE_dashboard_Updated/plots/National_Western_Campus_1920x960_stella-multimap_run_20250723_101735_VID_20250403_101731_052_EST_frame_trajectory_vs_GT_2025_04_03.10_17_32.579.prc.traj.csv.pdf
stella-vanilla,National Western Campus/1920x960/stella-vanilla_run_20250722_131252/VID_20250403_101731_052,VID_20250403_101731_052,frame_trajectory.txt,2025_04_03.10_17_32.579.prc.traj.csv,5.268311414223171,4.814762175178456,4.24557204452981,2.1384972185403863,2.0664725842973484,15.779255245580753,47128.16855698358,/home/tpc/Downloads/BenchmarkingSnippets/APE_dashboard_Updated/plots/National_Western_Campus_1920x960_stella-vanilla_run_20250722_131252_VID_20250403_101731_052_EST_frame_trajectory_vs_GT_2025_04_03.10_17_32.579.prc.traj.csv.pdf
stella-vanilla,National Western Campus/1440x720/stella-vanilla_run_20250722_115428/VID_20250403_101731_052,VID_20250403_101731_052,frame_trajectory.txt,2025_04_03.10_17_32.579.prc.traj.csv,5.116851893344619,4.669973873414598,4.133290619285283,2.0912956080022407,2.1352803350015903,15.19842872086179,44457.33026072465,/home/tpc/Downloads/BenchmarkingSnippets/APE_dashboard_Updated/plots/National_Western_Campus_1440x720_stella-vanilla_run_20250722_115428_VID_20250403_101731_052_EST_frame_trajectory_vs_GT_2025_04_03.10_17_32.579.prc.traj.csv.pdf
